participantlabel,r3score
66fc6008cda3d277a8978dbf,5
66fcb4019a3324429051348c,10
6701206a49833a2065d10763,9
670197e22686ef23040f5462,4
67019da3d61ec847660f1821,14
67045932c671e52de9f8bc4c,17
67099bcb59199185f719e426,23
670ff7a65beb0c8e83fe3fa3,8
6711e09a6906af2fa5b782bd,16
67152e342de7c1bca617e3e0,17
6716ad851065864029a3a4b0,11
6717fca726a4dc3a00ad40db,4
6718b9492c331fe6c69f1666,16
671936053fd2824bcf9fe04b,4
6719428924b5d55a3749dd65,17
671ac509e93a57b5220b3d4e,8
671b8aa1c4ef721a8f684d2c,3
671b9cb13465bc092b8712c1,4
671d1cb6e1d9b3b7a761d56c,10
671fae2215cb796cfc9d1207,18
671fe888253de02a5ed58177,8
67215f2922159d42abf932a4,21
6722865129f6fefb67dd3921,11
